latitude,longitude,same_month_top_rank,same_month_brand,month_%_value
25.941295,-80.306455,1,McDonald's,59
25.941295,-80.306455,2,Walmart,55
25.941295,-80.306455,4,Publix Super Markets,37
41.548496,-83.600682,1,McDonald's,64
41.548496,-83.600682,2,Walmart,47
41.548496,-83.600682,3,Kroger,40
38.962019,-84.678418,1,Kroger,80
38.962019,-84.678418,2,McDonald's,60
38.962019,-84.678418,4,Chick-fil-A,36
40.892454,-81.405156,1,McDonald's,56
40.892454,-81.405156,3,Starbucks,43
40.892454,-81.405156,4,Target,36
40.644189,-74.577273,1,Starbucks,42
40.644189,-74.577273,2,Dunkin',38
42.017612,-93.610966,1,Walmart,58
42.017612,-93.610966,2,Target,45
42.017612,-93.610966,3,McDonald's,45
42.104761,-87.814236,1,Target,66
42.104761,-87.814236,2,Starbucks,51
42.104761,-87.814236,3,McDonald's,46
42.104761,-87.814236,4,Walgreens,38
26.191566,-80.252629,1,Walmart,66
26.191566,-80.252629,2,McDonald's,59
26.191566,-80.252629,3,Publix Super Markets,52
28.095835,-81.974729,1,Walmart,69
28.095835,-81.974729,2,McDonald's,55
28.095835,-81.974729,3,Chick-fil-A,42
28.095835,-81.974729,4,Publix Super Markets,33
45.43777,-122.829271,1,Starbucks,62
45.43777,-122.829271,2,McDonald's,53
45.43777,-122.829271,3,Target,46
45.43777,-122.829271,1,Starbucks,66
45.43777,-122.829271,2,McDonald's,59
45.43777,-122.829271,3,Target,54
45.43777,-122.829271,4,Walmart,46
27.939654,-82.483391,1,Starbucks,60
27.939654,-82.483391,2,Walmart,54
27.939654,-82.483391,3,McDonald's,51
27.939654,-82.483391,4,Chick-fil-A,45
41.814541,-71.496456,1,Dunkin',65
41.814541,-71.496456,2,Walmart,48
41.814541,-71.496456,3,McDonald's,44
39.001421,-84.652758,1,Kroger,69
39.001421,-84.652758,2,Walmart,60
39.001421,-84.652758,3,McDonald's,55
39.001421,-84.652758,4,Chick-fil-A,42
25.478969,-80.441953,1,Walmart,58
25.478969,-80.441953,2,Walgreens,50
25.478969,-80.441953,3,McDonald's,47
25.478969,-80.441953,4,Publix Super Markets,42
45.534836,-122.877334,1,Starbucks,56
45.534836,-122.877334,2,McDonald's,42
45.534836,-122.877334,3,Target,38
39.003568,-94.629873,1,Starbucks,62
39.003568,-94.629873,3,Target,45
39.003568,-94.629873,4,Chick-fil-A,40
37.111904,-113.554444,1,Walmart,59
37.111904,-113.554444,4,McDonald's,39
39.856148,-105.082459,2,McDonald's,50
39.856148,-105.082459,3,Walmart,49
39.856148,-105.082459,4,Starbucks,47
42.104767,-87.814034,1,Starbucks,56
42.104767,-87.814034,2,McDonald's,49
42.104767,-87.814034,3,Walgreens,34
27.177999,-80.236066,1,Walmart,53
27.177999,-80.236066,2,McDonald's,48
27.177999,-80.236066,3,Publix Super Markets,45
27.177999,-80.236066,1,Walmart,53
27.177999,-80.236066,2,Publix Super Markets,48
27.177999,-80.236066,3,McDonald's,40
27.177999,-80.236066,4,Walgreens,38
35.586707,-82.58743,1,Starbucks,72
35.586707,-82.58743,2,Shell Oil,64
35.586707,-82.58743,3,McDonald's,63
35.586707,-82.58743,4,Walmart,62
42.040255,-88.033702,1,McDonald's,61
42.040255,-88.033702,2,Starbucks,60
42.040255,-88.033702,4,Target,52
31.770991,-106.374674,1,Walmart,73
31.770991,-106.374674,3,McDonald's,50
37.653677,-113.084663,1,Walmart,80
37.653677,-113.084663,4,Starbucks,45
41.13539,-81.637778,1,McDonald's,62
41.13539,-81.637778,2,Walmart,53
41.13539,-81.637778,4,Starbucks,43
25.769278,-80.359828,1,McDonald's,52
25.769278,-80.359828,2,Target,42
25.769278,-80.359828,3,Walmart,42
36.766188,-76.252406,1,Walmart,67
36.766188,-76.252406,2,Walgreens,44
36.766188,-76.252406,3,Target,33
40.781858,-74.191747,1,Dunkin',47
40.781858,-74.191747,2,McDonald's,41
40.781858,-74.191747,4,Walgreens,32
42.565909,-87.920878,1,McDonald's,64
42.565909,-87.920878,3,Walmart,53
42.565909,-87.920878,4,Target,49
29.652265,-82.341511,1,Starbucks,65
29.652265,-82.341511,2,Chick-fil-A,54
29.652265,-82.341511,3,Publix Super Markets,47
30.19636,-81.829912,1,McDonald's,63
30.19636,-81.829912,2,Walmart,61
30.19636,-81.829912,3,Chick-fil-A,56
30.19636,-81.829912,4,Target,48
45.383057,-122.748234,1,Starbucks,54
45.383057,-122.748234,2,McDonald's,48
41.905879,-87.985575,1,McDonald's,62
41.905879,-87.985575,2,Walmart,47
41.905879,-87.985575,3,Walgreens,40
39.989006,-75.009649,2,Walmart,51
39.989006,-75.009649,3,McDonald's,46
39.989006,-75.009649,4,Dunkin',41
30.504473,-84.249684,1,Walmart,64
30.504473,-84.249684,2,Shell Oil,62
30.504473,-84.249684,3,Chick-fil-A,57
30.504473,-84.249684,4,Publix Super Markets,53
29.673663,-82.338682,1,Walmart,56
29.673663,-82.338682,2,Publix Super Markets,56
29.673663,-82.338682,3,McDonald's,50
29.673663,-82.338682,4,Shell Oil,48
29.673663,-82.338682,1,Publix Super Markets,63
29.673663,-82.338682,2,Walmart,51
29.673663,-82.338682,3,McDonald's,49
29.673663,-82.338682,4,Shell Oil,42
29.673663,-82.338682,1,McDonald's,57
29.673663,-82.338682,2,Walmart,48
29.673663,-82.338682,3,Starbucks,47
29.673663,-82.338682,4,Publix Super Markets,44
41.568073,-87.636945,1,McDonald's,73
41.568073,-87.636945,2,Walmart,64
41.568073,-87.636945,3,Walgreens,53
39.037611,-84.454724,1,Kroger,62
39.037611,-84.454724,2,McDonald's,59
39.037611,-84.454724,3,Walmart,52
32.923617,-96.898811,1,Walmart,68
32.923617,-96.898811,2,McDonald's,60
32.923617,-96.898811,3,Starbucks,56
32.923617,-96.898811,4,Chick-fil-A,55
40.134297,-74.223033,4,Walmart,63
40.718646,-74.329485,2,Dunkin',42
40.718646,-74.329485,3,Walgreens,39
40.718646,-74.329485,4,Starbucks,36
40.803182,-74.021265,1,Target,43
40.803182,-74.021265,2,Walmart,40
40.803182,-74.021265,3,Dunkin',40
40.803182,-74.021265,4,McDonald's,39
39.204021,-84.368016,1,Kroger,58
39.204021,-84.368016,2,McDonald's,56
39.204021,-84.368016,4,Target,51
39.845579,-84.192831,1,Walmart,66
39.845579,-84.192831,2,McDonald's,64
39.845579,-84.192831,4,Kroger,56
42.171623,-88.335883,1,McDonald's,58
42.171623,-88.335883,2,Walmart,53
42.171623,-88.335883,4,Target,42
29.809985,-95.162528,1,Walmart,75
29.809985,-95.162528,2,Chick-fil-A,62
29.809985,-95.162528,1,Walmart,75
29.809985,-95.162528,2,Chick-fil-A,54
29.809985,-95.162528,4,Shell Oil,51
43.677545,-70.329691,1,Dunkin',72
43.677545,-70.329691,2,McDonald's,60
43.677545,-70.329691,3,Walmart,56
43.585321,-84.768095,2,Walmart,59
43.585321,-84.768095,3,McDonald's,58
41.497605,-72.808776,1,McDonald's,58
41.497605,-72.808776,2,Dunkin',58
41.497605,-72.808776,3,Walmart,47
41.497605,-72.808776,4,Chick-fil-A,42
29.665722,-95.187698,1,Walmart,73
29.665722,-95.187698,2,McDonald's,72
29.665722,-95.187698,3,Chick-fil-A,61
33.882403,-84.010515,2,Chick-fil-A,55
33.882403,-84.010515,3,Walmart,53
33.882403,-84.010515,4,McDonald's,45
38.920869,-76.993996,1,McDonald's,65
38.920869,-76.993996,2,Walmart,53
38.920869,-76.993996,3,Shell Oil,43
41.173886,-87.852172,1,Walmart,60
41.173886,-87.852172,2,McDonald's,57
41.173886,-87.852172,3,Target,46
29.503412,-95.042801,1,McDonald's,55
29.503412,-95.042801,2,Walmart,52
29.503412,-95.042801,4,Chick-fil-A,50
37.667197,-77.458877,1,McDonald's,65
37.667197,-77.458877,2,Chick-fil-A,65
37.667197,-77.458877,3,Walmart,54
43.224525,-71.490088,2,McDonald's,58
43.224525,-71.490088,3,Walmart,56
43.224525,-71.490088,4,Dunkin',56
43.224525,-71.490088,1,Dunkin',63
43.224525,-71.490088,3,Walmart,59
43.224525,-71.490088,4,McDonald's,59
43.224525,-71.490088,1,Dunkin',59
43.224525,-71.490088,2,Walmart,55
43.224525,-71.490088,3,McDonald's,54
32.811167,-96.624498,1,Walmart,77
32.811167,-96.624498,2,McDonald's,69
32.811167,-96.624498,4,Chick-fil-A,51
29.564597,-95.562689,1,Chick-fil-A,56
29.564597,-95.562689,2,Walmart,55
29.564597,-95.562689,3,Shell Oil,47
42.359946,-88.26649,1,McDonald's,79
42.359946,-88.26649,2,Walmart,62
42.359946,-88.26649,3,Starbucks,57
42.366089,-89.023486,1,Walmart,67
45.486854,-122.773631,1,McDonald's,48
45.486854,-122.773631,2,Starbucks,47
44.448579,-73.208055,2,Starbucks,39
44.448579,-73.208055,4,McDonald's,31
28.66124,-81.396683,1,McDonald's,59
28.66124,-81.396683,2,Chick-fil-A,54
28.66124,-81.396683,3,Walmart,54
28.66124,-81.396683,4,Publix Super Markets,50
36.144763,-115.297403,1,Starbucks,53
36.144763,-115.297403,3,Walmart,43
36.144763,-115.297403,4,McDonald's,42
36.144763,-115.297403,2,Walmart,48
36.144763,-115.297403,3,Starbucks,47
36.144763,-115.297403,4,McDonald's,43
35.123228,-106.701282,1,Walmart,73
35.123228,-106.701282,2,McDonald's,71
35.123228,-106.701282,3,Walgreens,53
35.123228,-106.701282,4,Starbucks,52
40.813127,-96.640107,1,Walmart,52
40.813127,-96.640107,2,McDonald's,44
40.813127,-96.640107,4,Target,36
42.28397,-87.95384,1,McDonald's,54
42.28397,-87.95384,2,Target,48
42.28397,-87.95384,3,Shell Oil,48
42.28397,-87.95384,4,Walgreens,46
35.876671,-78.85064,1,Walmart,62
35.876671,-78.85064,2,McDonald's,56
35.876671,-78.85064,4,Chick-fil-A,54
29.7797,-94.977222,1,Walmart,71
29.7797,-94.977222,2,McDonald's,59
29.7797,-94.977222,4,Chick-fil-A,41
27.893447,-82.505855,1,Chick-fil-A,57
27.893447,-82.505855,2,McDonald's,56
27.893447,-82.505855,3,Walmart,54
27.893447,-82.505855,4,Shell Oil,44
35.760382,-78.740899,1,Chick-fil-A,64
35.760382,-78.740899,2,McDonald's,59
35.760382,-78.740899,3,Walmart,57
35.760382,-78.740899,4,Target,54
40.432075,-111.8884,1,Walmart,70
40.432075,-111.8884,2,McDonald's,53
40.432075,-111.8884,3,Chick-fil-A,50
43.130535,-89.305766,1,Walmart,52
43.130535,-89.305766,3,McDonald's,47
41.462861,-81.480623,1,Starbucks,56
41.462861,-81.480623,2,McDonald's,52
41.659086,-81.377147,1,McDonald's,52
41.659086,-81.377147,2,Starbucks,38
41.659086,-81.377147,4,Walmart,36
38.732708,-77.547501,2,Chick-fil-A,60
38.732708,-77.547501,3,Target,59
38.732708,-77.547501,4,McDonald's,53
45.527475,-122.815572,1,Starbucks,51
45.527475,-122.815572,2,McDonald's,51
45.527475,-122.815572,4,Target,36
45.420562,-122.739291,1,Starbucks,64
45.420562,-122.739291,2,McDonald's,50
45.420562,-122.739291,3,Shell Oil,47
45.420562,-122.739291,4,Target,45
35.806993,-78.815193,1,Target,54
35.806993,-78.815193,2,Chick-fil-A,54
35.806993,-78.815193,3,Walmart,54
27.432723,-82.425433,1,Walmart,61
27.432723,-82.425433,2,Starbucks,57
27.432723,-82.425433,3,Publix Super Markets,57
27.432723,-82.425433,4,McDonald's,53
42.626401,-82.987868,1,McDonald's,58
42.626401,-82.987868,2,Kroger,46
42.626401,-82.987868,3,Target,37
40.861834,-74.387708,1,Walmart,39
40.861834,-74.387708,2,McDonald's,36
40.861834,-74.387708,3,Dunkin',34
39.631689,-79.954503,1,Chick-fil-A,49
39.631689,-79.954503,2,McDonald's,49
39.631689,-79.954503,4,Walmart,45
32.836184,-97.132823,1,Walmart,66
32.836184,-97.132823,3,McDonald's,48
32.836184,-97.132823,4,Chick-fil-A,44
39.764036,-104.774683,1,Walmart,62
39.764036,-104.774683,2,McDonald's,58
39.764036,-104.774683,3,Starbucks,57
35.188711,-101.866839,1,Walmart,80
35.188711,-101.866839,1,Walmart,73
28.014693,-82.734446,1,Walmart,52
28.014693,-82.734446,2,Chick-fil-A,44
28.014693,-82.734446,3,McDonald's,44
28.014693,-82.734446,4,Starbucks,36
42.382993,-88.063459,1,Walmart,61
42.382993,-88.063459,2,McDonald's,59
42.382993,-88.063459,4,Walgreens,51
38.243162,-85.508772,1,McDonald's,63
38.243162,-85.508772,2,Kroger,58
38.243162,-85.508772,3,Chick-fil-A,54
38.243162,-85.508772,4,Walmart,51
35.068526,-78.967151,1,Walmart,77
